item_id,warehouse_id,stock_level,reorder_point,last_restocked
3,3,944,175.0,2026-01-16
1,10,4,131.0,
2,3,569,115.0,2026-04-21
90,8,551,,
11,2,31,147.0,2026-08-05
86,8,126,182.0,2026-06-01
46,7,366,163.0,2025-10-17
50,3,8,188.0,2026-02-03
16,8,958,,2025-08-31
25,8,226,12.0,2026-07-30
96,1,696,81.0,2025-10-17
91,6,92,59.0,2026-07-15
79,5,226,193.0,
30,8,37,102.0,2025-10-15
36,8,723,,2025-08-19
78,4,200,11.0,2025-11-22
82,7,890,38.0,2026-06-01
36,10,505,138.0,2026-06-24
22,9,675,59.0,2026-01-02
95,10,698,,
78,10,66,54.0,2025-08-30
76,3,66,200.0,2025-12-24
17,5,876,155.0,
30,9,801,196.0,2025-09-12
36,4,23,183.0,
89,9,258,167.0,2025-10-17
88,9,2,,2025-12-09
55,1,442,92.0,2025-08-26
53,5,696,41.0,2026-05-11
67,8,370,136.0,2026-04-06
67,1,229,194.0,2025-08-12
7,5,545,117.0,
58,6,401,,2025-10-08
25,6,901,30.0,2026-07-12
74,1,231,198.0,2026-07-07
89,7,939,29.0,2026-05-06
32,4,337,52.0,2026-05-21
40,2,640,170.0,2026-03-11
13,1,442,132.0,
4,10,957,,2025-08-23
43,5,110,73.0,2026-01-10
61,4,852,97.0,
7,6,813,143.0,2026-03-01
31,2,634,163.0,2025-12-11
57,2,457,170.0,2026-02-02
75,2,997,31.0,2026-03-25
8,1,320,106.0,
89,2,63,42.0,2026-04-23
57,1,625,87.0,2025-08-19
81,7,104,26.0,
87,1,53,153.0,
38,7,98,112.0,2025-10-29
80,7,885,69.0,2025-09-02
77,10,464,12.0,2025-12-24
50,8,901,119.0,2025-10-15
80,10,347,35.0,2026-02-28
84,1,529,126.0,2026-06-11
43,10,110,59.0,2026-01-11
14,1,730,162.0,2026-06-08
9,10,926,,2025-09-16
74,3,521,173.0,2026-01-26
33,6,492,,2026-06-25
93,10,190,123.0,2026-05-15
32,3,61,21.0,2026-08-02
75,7,982,141.0,2025-12-17
84,6,597,89.0,2026-05-08
70,3,480,47.0,2025-12-05
40,10,298,97.0,2025-11-29
48,1,600,142.0,2025-12-25
85,3,243,24.0,2025-10-02
65,9,432,,
45,4,655,61.0,2026-01-09
26,2,193,97.0,2026-07-03
89,8,709,163.0,2025-09-02
73,6,306,167.0,2025-12-06
54,6,107,51.0,2026-07-19
59,1,224,,2026-07-30
1,4,235,187.0,2025-08-18
60,10,244,64.0,2026-01-30
62,6,384,199.0,
27,7,845,,2025-08-10
1,6,75,12.0,2025-08-21
46,1,117,152.0,2025-08-10
19,5,199,122.0,
81,10,44,102.0,
4,4,290,60.0,2025-11-15
23,4,736,77.0,2025-09-19
23,6,251,151.0,2025-09-21
34,2,851,15.0,2026-07-25
87,3,670,107.0,2026-01-04
15,6,312,63.0,2025-10-15
59,4,828,104.0,2026-02-28
48,3,1000,144.0,2026-05-31
92,2,147,40.0,2026-03-09
17,4,545,59.0,
49,6,613,91.0,
55,4,781,,2026-01-01
79,10,874,58.0,
69,5,335,48.0,
32,1,814,171.0,2026-05-22
36,3,991,140.0,2026-04-20
75,8,744,63.0,2026-04-22
11,8,629,179.0,2025-11-28
9,3,397,140.0,2026-05-19
97,9,510,105.0,2025-12-07
92,6,711,144.0,2025-10-20
62,8,274,131.0,
82,10,37,176.0,2026-08-02
27,4,462,61.0,
31,7,313,65.0,2026-02-08
55,7,160,156.0,2026-07-04
48,5,86,150.0,2025-08-07
18,2,455,85.0,2026-01-18
67,6,597,68.0,2026-01-30
6,8,636,141.0,2026-05-06
44,7,478,125.0,
56,7,823,104.0,2026-03-30
64,6,391,,2025-12-30
4,3,239,,2025-12-26
46,2,862,85.0,2025-08-16
70,2,948,80.0,2025-11-16
30,2,73,40.0,2025-09-06
47,1,205,149.0,2025-09-15
43,4,337,182.0,2026-05-02
33,5,835,200.0,2026-05-12
99,5,722,58.0,2026-07-29
78,3,757,193.0,2026-05-22
70,5,788,,
39,5,801,98.0,2026-06-11
52,7,775,,
61,9,886,48.0,2026-06-21
51,4,740,68.0,
96,4,239,131.0,2025-10-28
67,10,775,151.0,2026-03-07
60,8,810,97.0,
11,6,439,58.0,2025-09-17
99,7,449,63.0,2026-02-04
58,9,383,,2025-09-12
18,10,312,42.0,
95,1,829,137.0,2026-04-06
85,6,230,96.0,2025-12-09
54,7,770,185.0,
52,9,333,86.0,
76,1,804,155.0,2025-12-13
5,3,1000,49.0,2026-06-19
51,7,971,62.0,2025-08-21
51,2,395,146.0,2025-11-16
14,6,985,155.0,2026-06-28
58,5,175,33.0,2026-05-28
14,9,32,55.0,
89,10,27,135.0,2025-12-21
24,4,933,27.0,2025-10-06
50,5,238,62.0,2026-06-15
38,9,465,27.0,2025-10-27
8,6,11,142.0,2025-10-30
22,6,400,115.0,
21,2,549,43.0,2025-11-06
54,8,70,,
50,4,891,,2026-04-18
27,5,837,120.0,
91,8,618,50.0,
74,5,207,160.0,2026-03-30
65,8,206,80.0,2026-01-27
1,3,65,124.0,2026-04-27
52,10,538,73.0,2026-01-15
63,8,589,128.0,
6,2,661,83.0,
59,6,862,189.0,2025-10-08
92,5,627,110.0,2025-08-13
23,7,183,73.0,2026-01-31
59,7,187,178.0,2025-12-29
90,10,402,34.0,2026-05-15
90,1,906,71.0,2025-12-22
21,5,550,170.0,2026-03-07
38,2,743,188.0,2026-03-25
93,4,421,136.0,2026-06-15
98,9,377,41.0,2026-01-06
10,2,784,139.0,2025-10-21
100,6,461,114.0,2026-01-21
22,5,518,63.0,2025-12-10
4,2,711,173.0,2025-11-02
87,8,351,107.0,2026-02-17
96,7,406,59.0,2026-02-27
5,1,117,,2026-02-04
91,3,686,,2026-05-30
96,8,472,134.0,2026-05-20
9,2,672,150.0,2026-05-10
32,8,482,45.0,2026-05-08
22,1,102,165.0,2025-09-07
23,5,547,41.0,2026-01-16
95,7,79,53.0,2025-09-02
86,1,279,183.0,2026-05-15
20,8,182,101.0,2026-05-12
28,1,545,182.0,
28,8,48,188.0,2026-02-14
82,9,678,174.0,2026-02-11
77,1,790,22.0,2025-08-08
49,4,383,73.0,
31,4,16,33.0,2025-11-23
54,1,345,,2025-10-05
25,2,981,66.0,2025-12-28
13,3,171,195.0,
6,7,110,,2026-03-11
42,6,641,153.0,2026-06-12
25,10,956,63.0,2025-11-27
70,7,123,,2026-01-12
30,4,365,37.0,2026-02-13
42,3,411,13.0,2025-11-09
2,7,469,64.0,2026-03-16
29,2,834,178.0,2025-11-25
9,4,308,115.0,2025-08-27
99,10,104,,
92,9,175,155.0,2026-04-26
33,2,332,163.0,
43,3,779,172.0,2026-03-24
89,6,493,180.0,2026-01-23
9,6,623,14.0,2025-12-26
49,9,759,173.0,
30,1,777,167.0,
16,5,755,70.0,2025-11-14
80,2,140,25.0,2025-08-17
48,8,206,85.0,
20,7,657,62.0,2026-03-20
5,4,612,195.0,2026-02-05
57,6,284,44.0,2025-09-14
41,1,810,143.0,2025-09-30
54,5,234,16.0,
94,6,248,97.0,2026-03-21
27,9,928,23.0,2025-11-26
86,4,712,185.0,2026-06-29
78,7,329,143.0,2026-03-18
24,8,6,171.0,2026-04-20
9,8,976,,2026-03-16
25,1,144,172.0,2026-06-08
27,3,177,33.0,2026-05-24
76,9,241,62.0,2026-05-26
65,2,742,119.0,2026-05-29
60,5,738,52.0,2026-02-25
26,4,180,118.0,2026-01-29
74,8,206,,2025-10-12
35,8,973,30.0,2025-10-31
47,7,171,106.0,2026-06-16
61,8,517,118.0,2025-11-21
79,7,839,49.0,2026-03-03
62,1,437,107.0,2026-04-29
11,5,550,162.0,2025-10-28
20,9,179,196.0,2025-11-19
33,7,313,128.0,2026-02-27
59,5,575,106.0,
78,8,341,28.0,2026-03-31
18,8,158,60.0,2026-03-02
2,9,742,196.0,2025-10-04
51,6,501,108.0,2025-12-01
10,7,943,19.0,2025-08-28
16,7,166,154.0,2026-05-04
25,7,789,75.0,
97,6,726,140.0,2026-05-23
63,6,59,188.0,2026-05-09
84,7,753,118.0,2026-06-06
90,3,619,76.0,2026-01-08
59,3,253,75.0,2026-02-18
2,2,659,33.0,2026-02-15
92,7,723,111.0,2025-10-13
76,2,931,142.0,2026-03-28
22,7,708,74.0,2026-02-23
39,9,674,146.0,2026-05-23
49,10,751,88.0,2025-12-11
53,2,651,37.0,
74,6,275,46.0,2025-12-26
90,5,172,11.0,2026-01-20
63,1,71,34.0,2026-05-16
100,7,426,144.0,2026-07-20
84,5,441,197.0,2026-02-10
22,3,190,105.0,2025-10-25
26,8,514,56.0,2025-11-29
15,8,833,,2026-06-10
28,3,60,61.0,
96,3,265,,2026-03-09
53,8,934,170.0,
82,3,300,30.0,2026-01-09
11,7,283,41.0,2026-02-13
31,8,688,134.0,2025-09-06
98,2,62,12.0,2025-10-13
35,1,596,180.0,
28,9,384,11.0,2025-12-15
78,9,954,78.0,2026-06-12
44,6,911,,2026-06-28
31,6,408,180.0,2026-03-19
43,2,467,10.0,2025-09-05
90,7,855,195.0,2025-12-24
18,1,125,164.0,2025-10-26
68,5,769,189.0,2026-04-04
32,6,633,125.0,2026-06-04
88,8,423,141.0,2026-01-09
85,4,653,10.0,2025-11-15
42,1,368,172.0,2025-09-04
6,6,454,183.0,2026-04-30
30,10,409,134.0,2025-12-13
55,8,877,178.0,2026-01-24
90,2,394,197.0,2026-05-05
38,10,729,59.0,2025-08-20
19,9,803,156.0,2026-05-01
64,2,852,87.0,2026-06-05
87,9,172,129.0,2025-09-28
58,2,678,133.0,2025-09-08
70,4,216,72.0,
22,2,445,37.0,2026-07-06
92,1,951,,2026-03-28
42,7,225,81.0,2025-10-10
93,5,487,,2026-03-23
86,2,139,180.0,
69,8,814,33.0,2026-01-06
29,10,66,163.0,2025-09-21
83,6,932,106.0,2025-08-17
84,9,827,121.0,2026-01-31
15,2,758,97.0,2025-10-26
76,4,964,200.0,
15,10,130,104.0,2025-09-05
41,7,754,,2026-06-03
1,5,604,25.0,2025-09-13
69,4,433,109.0,2025-12-10
41,6,956,183.0,
17,9,616,179.0,2026-02-10
14,7,551,12.0,2026-04-02
29,8,466,,2025-11-21
19,10,149,82.0,2026-05-12
77,6,514,89.0,2025-09-08
62,4,298,136.0,2026-05-10
91,7,829,25.0,
92,4,956,197.0,2026-06-18
29,1,877,55.0,2026-05-19
63,7,834,86.0,2025-12-13
3,9,345,110.0,2026-02-14
45,7,73,110.0,
37,4,876,189.0,2026-05-18
71,7,134,34.0,2025-12-19
42,10,870,23.0,2026-04-26
91,5,670,127.0,
21,10,452,,2025-12-06
38,3,223,63.0,2025-09-28
47,10,694,36.0,2026-05-27
19,7,695,119.0,2026-07-15
13,6,183,131.0,2026-04-17
7,2,665,141.0,2025-12-04
44,10,993,121.0,
16,4,500,111.0,2026-06-21
39,10,668,54.0,
100,2,885,128.0,2026-07-11
16,2,124,31.0,2025-10-20
63,9,23,67.0,
76,10,491,156.0,2026-02-27
36,2,185,161.0,
83,7,585,86.0,2025-11-19
17,2,65,93.0,2026-04-23
24,7,20,189.0,
51,9,802,147.0,2026-07-13
68,8,531,26.0,2026-05-29
75,9,838,,2025-09-24
84,2,988,,
85,2,882,56.0,2026-02-03
77,3,568,11.0,2025-09-27
16,1,588,,2026-04-18
12,9,871,75.0,
97,1,127,31.0,
65,5,989,103.0,2025-10-09
32,5,968,21.0,2025-11-14
67,5,546,,2025-12-15
57,3,502,157.0,2025-08-08
66,4,101,186.0,2025-08-10
85,1,37,70.0,2026-01-06
25,3,876,86.0,2026-01-11
28,10,284,101.0,2026-06-03
17,10,76,118.0,2025-08-20
71,5,390,76.0,2026-01-21
84,3,467,112.0,2026-02-11
87,7,146,187.0,2026-05-27
10,5,713,172.0,2025-10-07
83,4,381,192.0,2025-12-31
73,9,167,164.0,2026-05-05
54,3,806,90.0,2025-10-16
32,2,127,79.0,
69,2,561,185.0,2026-01-08
47,6,149,79.0,2026-06-23
29,5,100,12.0,2026-07-12
49,2,179,41.0,2025-08-14
76,8,541,34.0,2026-04-30
45,10,564,82.0,
35,10,918,,2026-02-17
7,3,969,91.0,2026-06-08
97,7,353,56.0,2026-03-26
95,9,608,151.0,2026-02-12
52,8,130,161.0,2026-08-02
34,1,525,185.0,2026-07-15
92,3,129,178.0,2025-09-22
73,5,940,23.0,
93,6,796,191.0,2025-11-05
32,10,723,117.0,2025-11-10
60,9,282,83.0,2025-09-15
55,9,902,,2025-10-14
30,5,878,172.0,
12,5,789,,2026-05-19
41,2,81,172.0,
10,4,169,33.0,2026-04-24
71,8,985,12.0,2026-06-30
94,3,509,132.0,
66,9,127,188.0,2025-12-21
52,1,194,167.0,
90,9,250,,2025-10-15
88,10,621,20.0,2025-12-23
58,3,952,182.0,
29,3,375,29.0,2026-01-17
18,9,975,100.0,
7,7,388,136.0,2025-11-06
87,4,871,,2026-01-31
99,2,306,84.0,2025-09-23
62,5,218,77.0,
40,9,957,19.0,2026-01-17
79,8,305,,2026-03-16
93,3,363,112.0,2025-10-13
56,8,86,60.0,2026-05-20
68,9,420,49.0,2026-07-31
39,6,913,119.0,2026-04-04
24,9,111,,2026-07-29
57,8,143,51.0,2026-06-15
91,4,194,38.0,2025-12-22
37,1,404,44.0,2026-06-29
64,3,769,93.0,
98,7,743,,2025-12-18
17,3,512,98.0,2026-05-23
2,4,694,23.0,2025-09-11
38,5,84,134.0,2026-05-30
34,4,840,180.0,2025-11-09
61,2,747,189.0,
65,10,193,56.0,2026-03-11
17,7,280,19.0,2025-11-24
79,4,885,33.0,2025-12-31
53,9,716,88.0,2025-12-24
82,4,344,66.0,2025-12-20
8,9,659,119.0,2026-06-27
15,5,287,,2026-07-28
6,1,676,23.0,2025-12-15
96,6,292,64.0,
61,5,103,165.0,2025-12-14
56,3,971,74.0,2026-06-13
99,3,369,94.0,
95,6,797,200.0,2026-02-22
78,6,665,70.0,2026-07-13
12,2,644,43.0,2025-11-09
96,10,42,40.0,2025-12-04
13,2,633,149.0,2025-09-08
44,5,485,195.0,2026-04-11
98,4,738,146.0,2025-10-19
20,1,196,42.0,2026-01-15
54,9,258,192.0,
45,6,644,124.0,2026-02-06
56,2,429,133.0,2025-11-26
77,5,990,188.0,2026-05-09
6,10,813,,2026-03-01
89,4,834,199.0,2026-02-12
51,8,545,185.0,2026-06-15
66,2,448,52.0,2026-01-16
50,9,410,,2026-06-19
78,5,188,62.0,2026-05-24
74,4,713,161.0,2026-07-24
59,9,737,,2026-01-07
39,4,725,85.0,2025-09-04
35,9,175,40.0,
38,1,151,173.0,2026-02-25
15,1,355,176.0,2025-08-30
48,6,969,31.0,2026-04-16
91,9,739,77.0,2026-06-03
18,7,301,166.0,2026-05-09
81,1,224,101.0,2025-09-10
94,5,262,55.0,2025-11-08
85,10,739,,2025-11-18
71,4,225,123.0,2025-09-13
42,5,595,62.0,2026-08-02
30,7,151,104.0,
62,2,185,136.0,
73,8,184,196.0,2025-12-11
83,5,317,15.0,2026-05-30
21,3,703,110.0,2026-02-08
13,9,744,45.0,
78,2,393,106.0,2026-07-30
3,2,781,13.0,2026-03-25
83,1,254,43.0,
35,3,614,170.0,
2,1,555,37.0,2026-08-06
91,2,142,61.0,2026-06-28
62,10,835,123.0,2025-08-17
43,8,249,49.0,2026-02-21
89,5,556,170.0,2026-05-27
19,6,293,177.0,
29,7,905,185.0,2026-01-04
63,3,229,38.0,2026-01-16
14,5,78,101.0,2025-10-22
79,6,369,40.0,2026-01-03
11,1,154,164.0,2025-08-29
68,6,185,163.0,2025-11-24
20,5,837,169.0,2025-11-06
