invoice_id,po_id,amount_due,amount_paid,payment_date,days_overdue,payment_status
1,662,37798.65,37798.65,2025-04-01,0.0,paid
2,463,8463.26,8463.26,2025-12-15,0.0,paid
3,93,15138.22,0.0,,,unpaid
4,740,11759.7,0.0,,100.0,unpaid
5,513,23782.02,23782.02,2026-03-30,0.0,paid
6,116,43526.86,43526.86,2024-09-25,0.0,paid
7,185,46368.4,46368.4,2024-10-17,0.0,paid
8,600,33956.82,21946.33,,5.0,partial
9,713,26611.54,26611.54,2025-01-31,0.0,paid
10,560,42227.54,0.0,,167.0,unpaid
11,139,42931.95,42931.95,2025-02-17,0.0,paid
12,403,13427.68,13427.68,2024-12-19,0.0,paid
13,424,32751.73,32751.73,2025-08-23,0.0,paid
14,332,38680.24,0.0,,,unpaid
15,462,29477.34,29477.34,2025-01-14,0.0,paid
16,26,16936.59,0.0,,,unpaid
17,184,15732.16,15732.16,2026-05-14,0.0,paid
18,465,522.96,522.96,2025-03-06,0.0,paid
19,605,20621.31,,2026-03-09,0.0,paid
20,730,34306.43,34306.43,2026-08-05,0.0,paid
21,207,36290.01,36290.01,2025-04-16,,paid
22,466,1798.68,,,15.0,unpaid
23,798,46931.42,0.0,,56.0,unpaid
24,257,47529.4,0.0,,,unpaid
25,787,4410.68,0.0,,97.0,unpaid
26,709,32854.09,18163.55,2025-05-02,23.0,partial
27,665,34813.12,34813.12,2024-09-01,0.0,paid
28,729,23401.08,14298.63,2026-04-28,35.0,partial
29,168,34641.85,0.0,,83.0,unpaid
30,736,12941.1,0.0,,71.0,unpaid
31,751,38877.59,38877.59,2025-07-30,0.0,paid
32,127,16699.47,16699.47,2025-12-16,0.0,paid
33,94,47784.72,47784.72,2026-03-13,0.0,paid
34,117,22084.68,22084.68,2024-08-17,0.0,paid
35,724,46436.46,0.0,,46.0,unpaid
36,461,32309.61,32309.61,2026-01-11,0.0,paid
37,650,27077.54,27077.54,2026-04-21,0.0,paid
38,372,30736.92,30736.92,2025-12-01,0.0,paid
39,88,22134.93,22134.93,2026-02-15,0.0,paid
40,537,1839.56,1839.56,2024-11-17,0.0,paid
41,725,36404.5,,,5.0,unpaid
42,394,44835.97,44835.97,2025-10-21,,paid
43,745,32052.73,20247.22,,34.0,partial
44,524,16558.56,16558.56,2024-08-24,0.0,paid
45,627,284.82,0.0,,126.0,unpaid
46,164,23959.16,23959.16,2024-08-09,0.0,paid
47,388,36415.59,,,18.0,unpaid
48,564,27052.42,27052.42,2026-03-28,0.0,paid
49,390,47712.35,0.0,,,unpaid
50,45,6148.06,6148.06,2024-10-22,0.0,paid
51,175,49580.91,,2025-07-04,0.0,paid
52,344,15211.12,15211.12,2026-01-10,0.0,paid
53,580,49851.09,0.0,,94.0,unpaid
54,676,26777.85,4401.35,2026-01-02,58.0,partial
55,154,14568.94,14568.94,2024-10-29,0.0,paid
56,167,27768.33,17454.82,2026-04-29,38.0,partial
57,149,44833.39,,,92.0,unpaid
58,784,24376.53,10978.87,,24.0,partial
59,781,9735.33,0.0,,152.0,unpaid
60,53,12000.41,,2025-01-13,0.0,paid
61,430,39657.68,0.0,,128.0,unpaid
62,316,26743.61,0.0,,116.0,unpaid
63,317,48332.05,48332.05,2026-07-12,0.0,paid
64,457,17030.33,17030.33,2026-05-03,0.0,paid
65,296,36078.5,36078.5,2025-02-24,0.0,paid
66,642,10662.74,0.0,,134.0,unpaid
67,186,22972.68,0.0,,138.0,unpaid
68,121,7532.79,7532.79,2026-07-01,,paid
69,135,46248.31,46248.31,2025-04-20,0.0,paid
70,208,7165.36,0.0,,121.0,unpaid
71,4,45368.23,0.0,,63.0,unpaid
72,638,35094.71,35094.71,2025-05-25,0.0,paid
73,260,8695.23,8695.23,2026-01-21,0.0,paid
74,13,15436.13,0.0,,117.0,unpaid
75,470,30600.17,,,17.0,unpaid
76,510,40908.23,40908.23,2024-08-08,,paid
77,511,24907.46,0.0,,,unpaid
78,557,3249.19,3249.19,2026-03-06,0.0,paid
79,6,16933.42,,,174.0,unpaid
80,623,20160.23,20160.23,2024-11-21,0.0,paid
81,506,34236.01,34236.01,2026-02-05,0.0,paid
82,244,16147.34,4369.24,2026-05-23,5.0,partial
83,223,16841.64,,2025-01-28,0.0,paid
84,603,7147.72,,2024-08-13,0.0,paid
85,747,34845.16,34845.16,2025-03-18,0.0,paid
86,488,21989.19,2914.87,2024-10-29,12.0,partial
87,783,31646.51,31646.51,2025-12-30,0.0,paid
88,420,7971.91,1312.0,,0.0,partial
89,453,4548.15,,,73.0,unpaid
90,82,20869.49,0.0,,122.0,unpaid
91,616,34648.68,34648.68,2025-05-13,0.0,paid
92,615,32027.3,32027.3,2025-04-13,0.0,paid
93,7,20660.36,12157.18,2025-03-11,4.0,partial
94,251,35888.22,0.0,,,unpaid
95,561,31396.86,0.0,,90.0,unpaid
96,285,20997.41,20997.41,2025-09-25,0.0,paid
97,635,9675.95,8528.7,2026-01-08,79.0,partial
98,644,38080.3,38080.3,2026-05-21,,paid
99,571,11041.88,,,,unpaid
100,213,10484.62,,2026-02-24,0.0,paid
101,51,5722.69,5722.69,2025-03-14,0.0,paid
102,190,42204.71,,2024-12-03,20.0,partial
103,152,2251.47,0.0,,73.0,unpaid
104,57,10558.53,10558.53,2025-06-19,0.0,paid
105,669,30879.29,14282.23,2025-12-30,,partial
106,358,46250.58,46250.58,2025-07-30,0.0,paid
107,38,39296.05,39296.05,2025-07-06,,paid
108,744,5891.65,3989.37,2026-07-06,75.0,partial
109,34,21011.41,0.0,,84.0,unpaid
110,684,11580.16,11580.16,2025-10-05,0.0,paid
111,592,11466.32,11466.32,2025-12-16,0.0,paid
112,618,20688.51,20688.51,2024-12-14,0.0,paid
