po_id,vendor_id,item_id,quantity,unit_price,order_date,expected_delivery,actual_delivery,status
1,15,18,378,55.74,2022-08-17,2022-08-25,2022-09-14,delayed
2,6,28,120,255.15,2022-06-28,2022-08-11,2022-08-06,delivered
3,15,58,302,142.7,2022-02-24,2022-04-07,2022-04-15,delivered
4,22,36,80,111.58,2022-01-14,2022-03-10,2022-04-11,delayed
5,23,45,310,135.94,2023-11-21,2023-12-04,2023-12-02,delivered
6,25,11,283,150.12,2022-03-30,2022-05-22,2022-05-20,delivered
7,3,85,117,387.67,2024-01-11,2024-02-23,,delivered
8,18,59,326,417.88,2022-06-13,2022-07-04,2022-08-02,delayed
9,45,88,332,40.34,2022-11-30,2022-12-30,2023-01-02,delivered
10,30,49,139,494.81,2022-12-17,2023-01-27,2023-02-11,delayed
11,15,5,413,161.15,2023-03-26,2023-05-15,,delivered
12,14,84,256,200.84,2023-07-03,2023-07-14,2023-07-19,delivered
13,48,72,276,135.06,2024-07-28,2024-08-13,2024-08-15,delivered
14,9,66,253,50.0,2024-05-27,2024-07-10,2024-07-12,delivered
15,44,55,306,36.45,2022-04-07,2022-04-21,2022-04-21,delivered
16,34,33,498,278.85,2024-02-21,2024-04-06,,cancelled
17,49,35,394,322.28,2022-01-24,2022-03-15,2022-04-23,delayed
18,1,93,449,361.24,2022-08-17,2022-09-11,2022-09-20,delivered
19,41,39,431,321.28,2024-10-22,2024-12-16,2024-12-14,delivered
20,35,100,473,267.53,2023-02-12,2023-02-28,2023-02-28,delivered
21,8,47,450,492.73,2022-01-02,2022-02-16,2022-02-11,delivered
22,6,94,249,408.93,2023-09-22,2023-10-14,2023-10-11,delivered
23,36,22,136,266.2,2024-12-26,2025-02-20,2025-03-02,delivered
24,49,94,354,104.57,2024-05-16,2024-06-05,,cancelled
25,42,48,225,450.31,2023-10-01,2023-11-02,,cancelled
26,22,3,302,279.19,2024-07-13,2024-07-27,2024-07-24,delivered
27,15,9,464,20.55,2023-03-28,2023-04-04,2023-03-31,delivered
28,43,63,110,271.92,2023-11-08,2023-11-19,2023-11-22,delivered
29,13,13,50,331.2,2024-08-26,2024-09-17,2024-10-18,delayed
30,44,84,331,53.72,2023-12-27,2024-01-30,,delivered
31,16,25,98,270.46,2024-04-04,2024-05-27,2024-05-25,delivered
32,16,10,227,404.97,2022-10-15,2022-11-18,2022-11-27,delivered
33,1,12,475,378.01,2022-07-20,2022-07-30,2022-09-07,delayed
34,14,52,463,34.02,2023-04-30,2023-05-17,2023-05-27,delivered
35,17,59,147,214.39,2024-02-16,2024-02-23,,cancelled
36,4,75,377,273.39,2024-09-23,2024-10-09,2024-10-10,delivered
37,33,68,81,33.16,2023-10-05,2023-10-15,2023-10-25,delivered
38,39,9,346,431.6,2024-11-06,2024-11-18,2024-11-27,delayed
39,37,32,297,299.29,2024-04-06,2024-04-20,,cancelled
40,34,41,479,134.08,2022-06-17,2022-07-20,2022-08-30,delayed
41,43,83,154,231.33,2023-10-06,2023-10-28,2023-10-27,delivered
42,5,69,110,255.41,2022-05-29,2022-06-05,2022-06-03,delivered
43,24,37,81,221.9,2022-09-29,2022-10-28,2022-11-17,delayed
44,42,68,5,335.59,2023-09-12,2023-10-28,,cancelled
45,17,15,456,57.98,2023-09-06,2023-10-25,2023-10-24,delivered
46,46,44,105,345.31,2022-11-15,2022-12-09,2022-12-10,delivered
47,6,82,217,415.53,2023-06-25,2023-08-03,2023-07-30,delivered
48,41,34,83,371.91,2022-04-01,2022-04-08,2022-04-07,delivered
49,45,20,280,22.83,2024-05-25,2024-07-06,2024-07-03,delivered
50,9,6,158,185.5,2024-01-27,2024-03-11,2024-03-19,delivered
51,43,14,182,391.16,2022-03-23,2022-04-21,2022-04-23,delivered
52,11,23,452,209.09,2024-04-12,2024-05-28,2024-06-17,delayed
53,27,86,443,368.85,2023-01-03,2023-02-26,,cancelled
54,25,5,440,237.99,2023-05-24,2023-06-17,2023-06-15,delivered
55,23,40,421,398.7,2023-02-13,2023-04-13,,cancelled
56,26,43,143,432.85,2023-04-12,2023-05-03,2023-05-04,delivered
57,44,69,170,469.92,2023-07-26,2023-08-24,,delivered
58,3,14,306,220.11,2022-08-25,2022-09-17,2022-09-20,delivered
59,25,74,98,131.09,2023-10-05,2023-11-08,,delivered
60,24,56,36,474.69,2024-06-12,2024-06-19,2024-06-20,delivered
61,47,39,260,158.1,2023-11-08,2023-12-24,2023-12-22,delivered
62,36,17,99,213.12,2024-04-16,2024-05-13,2024-05-17,delivered
63,40,73,155,206.01,2024-02-16,2024-04-06,2024-04-22,delayed
64,38,78,336,164.51,2022-01-01,2022-01-27,2022-02-04,delivered
65,31,95,87,331.13,2024-06-23,2024-07-28,2024-09-03,delayed
66,22,12,420,476.24,2023-08-05,2023-09-13,2023-10-27,delayed
67,10,4,24,126.2,2023-04-27,2023-06-16,2023-06-17,delivered
68,30,54,454,316.73,2024-08-31,2024-10-16,2024-10-25,delayed
69,26,32,76,329.75,2023-02-03,2023-03-27,2023-05-02,delayed
70,50,55,113,92.06,2022-01-12,2022-03-08,2022-03-19,delayed
71,8,59,69,401.7,2024-11-26,2025-01-01,2025-01-03,delivered
72,40,93,457,254.87,2024-12-23,2025-02-03,2025-02-12,delivered
73,29,34,385,127.38,2024-07-02,2024-07-19,2024-08-23,delayed
74,41,31,141,222.74,2023-07-22,2023-09-16,2023-10-22,delayed
75,35,11,71,79.66,2023-08-09,2023-08-31,2023-09-05,delivered
76,5,54,209,168.79,2024-02-24,2024-04-15,2024-04-16,delivered
77,25,99,300,473.3,2024-08-12,2024-09-14,2024-09-22,delivered
78,1,46,153,377.97,2022-02-10,2022-04-06,,delivered
79,39,29,250,113.61,2024-05-08,2024-06-18,2024-07-27,delayed
80,43,87,409,205.14,2024-06-11,2024-07-19,2024-07-24,delivered
81,40,69,14,453.93,2022-12-05,2023-02-03,2023-02-02,delivered
82,30,24,26,133.78,2022-02-25,2022-03-09,2022-03-08,delivered
83,49,49,143,377.24,2023-11-02,2023-11-22,2023-11-27,delivered
84,2,96,277,30.78,2024-05-13,2024-06-05,2024-07-10,delayed
85,49,4,487,127.41,2023-12-18,2024-01-08,2024-01-15,delayed
86,31,86,59,284.16,2022-02-11,2022-03-29,2022-03-28,delivered
87,11,78,311,482.05,2023-03-23,2023-04-28,2023-05-26,delayed
88,7,75,14,464.8,2022-08-23,2022-10-18,2022-11-11,delayed
89,13,10,304,346.85,2024-02-08,2024-03-11,,cancelled
90,44,77,413,64.92,2023-05-13,2023-05-26,2023-06-19,delayed
91,5,65,332,173.91,2022-03-26,2022-04-24,2022-04-30,delivered
92,24,82,457,415.21,2024-05-10,2024-07-08,2024-07-16,delivered
93,40,69,397,244.33,2022-11-10,2022-12-14,2022-12-17,delivered
94,21,32,426,467.64,2024-06-11,2024-08-09,2024-08-31,delayed
95,37,79,343,192.6,2023-07-26,2023-08-30,2023-09-08,delivered
96,32,28,182,399.93,2022-02-28,2022-04-07,2022-04-23,delayed
97,36,2,265,474.29,2023-11-29,2023-12-23,2024-01-14,delayed
98,36,98,124,346.85,2022-06-25,2022-07-17,2022-08-22,delayed
99,19,29,208,347.43,2024-10-02,2024-11-06,2024-11-16,delayed
100,36,68,177,215.62,2023-09-20,2023-11-08,2023-11-18,delivered
101,20,33,119,64.72,2023-11-09,2023-12-08,2023-12-30,delayed
102,13,28,379,244.68,2023-01-30,2023-02-26,2023-02-26,delivered
103,13,38,117,183.64,2024-12-10,2025-01-24,2025-01-22,delivered
104,18,6,499,31.99,2023-09-12,2023-09-19,2023-10-02,delayed
105,41,97,252,55.78,2023-08-22,2023-10-12,,cancelled
106,29,44,95,482.92,2022-01-26,2022-03-10,2022-03-20,delivered
107,26,63,38,290.63,2023-06-02,2023-07-09,2023-07-06,delivered
108,6,32,61,281.25,2022-04-20,2022-05-06,2022-05-10,delivered
109,50,67,195,228.0,2024-05-02,2024-06-16,2024-06-18,delivered
110,20,73,318,34.81,2024-06-25,2024-07-21,2024-08-22,delayed
111,17,85,42,82.74,2022-07-23,2022-09-16,2022-09-17,delivered
112,27,58,353,298.94,2022-12-22,2023-02-02,2023-01-28,delivered
113,45,59,37,345.26,2023-08-20,2023-08-29,2023-09-02,delivered
114,43,26,218,61.81,2023-06-26,2023-08-22,2023-10-03,delayed
115,10,10,31,87.13,2023-04-06,2023-05-24,2023-05-27,delivered
116,19,57,64,237.01,2023-09-22,2023-11-06,2023-12-17,delayed
117,33,70,253,221.69,2023-09-15,2023-11-05,2023-11-08,delivered
118,17,4,47,118.32,2022-03-23,2022-04-26,2022-06-08,delayed
119,37,6,391,379.35,2022-02-12,2022-04-08,2022-04-30,delayed
120,12,75,224,319.22,2024-08-21,2024-09-30,2024-10-22,delayed
121,22,42,344,56.78,2024-10-04,2024-10-16,2024-10-24,delivered
122,19,85,484,203.22,2022-11-26,2022-12-24,2023-01-03,delivered
123,21,15,497,387.41,2022-03-17,2022-04-22,2022-04-25,delivered
124,43,70,237,209.56,2024-11-19,2025-01-17,,cancelled
125,41,57,390,30.55,2023-01-20,2023-03-01,2023-03-11,delivered
126,29,90,249,65.11,2023-07-01,2023-08-12,2023-08-16,delivered
127,36,53,48,116.23,2023-05-06,2023-06-27,2023-06-22,delivered
128,42,20,256,466.66,2022-08-21,2022-09-26,,cancelled
129,31,61,125,231.11,2023-08-21,2023-09-29,2023-10-30,delayed
130,5,36,396,396.05,2022-10-24,2022-11-24,2022-11-23,delivered
131,33,35,421,6.27,2024-04-29,2024-05-27,,cancelled
132,10,58,276,244.75,2023-09-04,2023-11-03,2023-11-13,delivered
133,30,42,446,98.38,2023-11-12,2023-12-24,2024-01-22,delayed
134,3,41,382,239.12,2023-05-05,2023-06-17,2023-06-25,delivered
135,42,20,254,482.59,2024-02-20,2024-03-22,,cancelled
136,22,13,448,423.29,2022-09-16,2022-10-25,,cancelled
137,1,93,74,207.94,2022-07-24,2022-09-02,,cancelled
138,22,80,355,201.75,2022-11-13,2022-11-24,2022-11-27,delivered
139,25,41,321,360.77,2022-06-14,2022-07-12,2022-08-20,delayed
140,16,81,351,460.86,2024-09-26,2024-11-06,2024-11-03,delivered
141,49,82,361,436.93,2023-04-11,2023-06-04,2023-06-02,delivered
142,3,42,408,32.78,2024-06-27,2024-07-14,2024-07-20,delayed
143,34,53,290,342.49,2024-01-05,2024-02-04,2024-02-06,delivered
144,40,88,124,251.35,2023-01-04,2023-01-21,2023-01-28,delivered
145,30,33,342,9.65,2022-10-21,2022-11-11,2022-11-14,delivered
